AUTH: 2025/06/12 00:25:57 logger.go:35: UserID: 0 | Username:  | Action: INVALID_TOKEN
AUTH: 2025/06/12 00:26:55 logger.go:35: UserID: 6 | Username: AdministradorSimclec | Action: SESSION_REJECTED (token no coincide)
AUTH: 2025/06/12 00:26:59 logger.go:35: UserID: 6 | Username: AdministradorSimclec | Action: SESSION_REJECTED (token no coincide)
AUTH: 2025/06/12 00:26:59 logger.go:35: UserID: 6 | Username: AdministradorSimclec | Action: SESSION_REJECTED (token no coincide)
AUTH: 2025/06/12 00:27:30 logger.go:35: UserID: 6 | Username: AdministradorSimclec | Action: SESSION_REJECTED (token no coincide)
AUTH: 2025/06/12 00:27:33 logger.go:35: UserID: 6 | Username: AdministradorSimclec | Action: SESSION_REJECTED (token no coincide)
AUTH: 2025/06/12 00:27:33 logger.go:35: UserID: 6 | Username: AdministradorSimclec | Action: SESSION_REJECTED (token no coincide)
AUTH: 2025/06/12 00:27:35 logger.go:35: UserID: 6 | Username: AdministradorSimclec | Action: SESSION_REJECTED (token no coincide)
AUTH: 2025/06/12 00:27:35 logger.go:35: UserID: 6 | Username: AdministradorSimclec | Action: SESSION_REJECTED (token no coincide)
AUTH: 2025/06/12 00:27:36 logger.go:35: UserID: 6 | Username: AdministradorSimclec | Action: SESSION_REJECTED (token no coincide)
AUTH: 2025/06/12 00:27:38 logger.go:35: UserID: 6 | Username: AdministradorSimclec | Action: SESSION_REJECTED (token no coincide)
AUTH: 2025/06/12 00:27:38 logger.go:35: UserID: 6 | Username: AdministradorSimclec | Action: SESSION_REJECTED (token no coincide)
AUTH: 2025/06/12 22:57:26 logger.go:35: UserID: 6 | Username: AdministradorSimclec | Action: LOGIN
AUTH: 2025/06/12 22:57:41 logger.go:35: UserID: 6 | Username: AdministradorSimclec | Action: LOGOUT
AUTH: 2025/06/12 22:58:19 logger.go:35: UserID: 6 | Username: AdministradorSimclec | Action: LOGIN
AUTH: 2025/06/12 22:58:36 logger.go:35: UserID: 6 | Username: AdministradorSimclec | Action: LOGOUT
AUTH: 2025/06/12 23:11:42 logger.go:35: UserID: 0 | Username:  | Action: MISSING_TOKEN
AUTH: 2025/06/12 23:11:42 logger.go:35: UserID: 0 | Username:  | Action: MISSING_TOKEN
